STNCode|Name of Monitoring Location|State_Name|Temperature_Min|Temperature_Max|pH_Min|pH_Max|Conductivity_Min(μmhos/cm)|Conductivity_Max(μmhos/cm)|BOD_Min (mg/L)|BOD_Max (mg/L)|Nitrate N_Min (mg/L)|Nitrate N_Max (mg/L)|Faecal Coliform_Min (MPN/100ml)|Faecal Coliform_Max (MPN/100ml)|Total Coliform_Min (MPN/100ml)|Total Coliform_Max (MPN/100ml)|Total Dissolved Solids_Min (mg/L)|Total Dissolved Solids_Max (mg/L)|Fluoride_Min(mg/L)|Fluoride_Max(mg/L)|Arsenic_Min (mg/L)|Arsenic_Max (mg/L)
3093|BORE WELL AT ALLADAPALEM VILLAGE, PYDIBHIMAVARAM|ANDHRA PRADESH|29|30|7.3|7.4|840|1481|2|2.1|0.9|16.75|2|4|64|75|584|980|0.4|0.8|0.001|0.001
3092|BORE WELL AT ARINAMA AKKIVALASA, SRIKAKULAM|ANDHRA PRADESH|28|31|7.4|8.1|712|1139|2|2.4|0.9|7.95|3|4|64|75|492|754|1|1.1|0.001|0.001
4360|BORE WELL AT IDA,RAMANAYYAPETA, KKAINADA|ANDHRA PRADESH|27|29|7.7|7.8|990|1280|1.8|2|1|3.48|2|7|75|93|660|868|0.4|0.4|0.007|0.009
3091|BORE WELL AT KAPULUPPADADUMPSITE, VISHAKHAPATNAM|ANDHRA PRADESH|26|26|7|7.1|3340|4260|2.2|3.6|4.9|41.6|4|7|93|93|2320|2832|0.8|1.1|0.001|0.001
4353|BORE WELL AT MANGARAJU HOUSE, GAJAPATHINAGARAMVILLAGE, PAYAKARAOPETA (M)|ANDHRA PRADESH|25|27|7.9|8.1|2660|3940|1.4|2.7|3|46.25|3|4|63|93|1844|2640|0.4|0.5|0.001|0.001
3087|BORE WELL NEAR VILLAGESECRETARIAT, PATHAPADU (V)|ANDHRA PRADESH|24|27|7.5|7.8|2031|2050|1.4|1.8|0.97|7.1|3|3|21|28|1210|1218|0.4|1|0.001|0.001
4355|BORE WELL, CHIPPADA VILLAGE, BHEEMUNIPATNAM (M)|ANDHRA PRADESH|25|27|7.9|8|660|1482|2.2|2.2|2.05|3.6|4|7|43|120|442|980|0.4|1.4|0.001|0.001
4354|BORE WELL, SRI NOOKATATATEMPLE RAJAYYAPETA VILLAGE, NAKKAPALLI (M)|ANDHRA PRADESH|25|27|7.4|7.6|11120|11420|2.2|2.5|2.2|15.4|7|9|120|150|7340|7968|0.3|0.7|0.001|0.001
4394|BOREWELL AT APLLC OFFICE INDUSTRIAL ESTATE GROWTH CENTRE, THUMAKUNTA,HINDUPUR (M)|ANDHRA PRADESH|26|28|6.9|7.1|1584|3239|1|1|5.8|7.9|2|4|2|21|901|1764|0.6|1.3|0.001|0.001
4395|BOREWELL AT APLLC OFFICE INDUSTRIAL ESTATE,ANANTAPURAM (M)|ANDHRA PRADESH|26|28|7|7.1|3558|3780|1|1|10.4|11.4|2|6|2|33|1868|2144|0.5|1.5|0.001|0.001
4377|BOREWELL AT IMITATION JEWELLARY PARK,MACHILIPTNAM|ANDHRA PRADESH|27|27|8.1|8.1|1896|1920|1.4|1.8|0.3|2.8|3|3|14|21|1158|1170|0.8|0.9|0.001|0.001
1519|BOREWELL AT NAGIRI|ANDHRA PRADESH|28|29|7.1|7.3|1872|2741|1|1|5.2|6.8|2|4|2|16|1061|1361|0.5|0.5|0.001|0.001
1518|BOREWELL AT NANDYAL(KUNDU)|ANDHRA PRADESH|23|27|7.2|7.3|6619|7770|1|1|5.8|6.2|2|2|2|14|4068|4413|1|1.1|0.001|0.001
4364|BOREWELL AT RAJIV GRUHAKA;PA, NEAR AP PAPER MAILLS WORKERS COLONY,|ANDHRA PRADESH|28|28|7.6|7.6|1048|1048|1.5|1.5|3.22|3.22|3|3|93|93|680|680|0.7|0.7|0.001|0.001
None|MALLAYAPETA, KATHERU,RAJAMAHENDRAVARAM|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None
4350|BOREWELL AT ZP HIGH SCHOOL, UDDANAM REGION,AMALAPADU (V) VAJRAPUKOTTURU|ANDHRA PRADESH|24|24|7.1|7.1|1140|1140|2.4|2.4|8|8|4|4|93|93|746|746|0.8|0.8|0.002|0.003
